Calculation Method, Insertion Method,Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Average
Standard,AddAndSort,127756.3211,126310.5561,125641.5538,125751.898,125687.6034,125376.1861,125282.5988,125747.8104,125402.8968,125506.8608,125846.42853
Standard,InsertInPlace,34425.2144,34564.2466,34467.6129,34609.2074,34411.875,34625.5896,34455.268,34654.1164,34757.8841,34714.6742,34568.56886
